Risk Category,F1,Precision,Recall
Jurisdiction,0.9696969696969697,0.9411764705882353,1.0
Choice of law,0.9230769230769231,0.9230769230769231,0.9230769230769231
Unilateral termination,0.8395061728395061,0.7906976744186046,0.8947368421052632
Contract by using,0.8,0.8181818181818182,0.782608695652174
Content removal,0.7272727272727273,0.6,0.9230769230769231
Limitation of liability,0.6896551724137931,0.6122448979591837,0.7894736842105263
Unilateral change,0.6746987951807228,0.6222222222222222,0.7368421052631579
Arbitration,0.6666666666666666,0.5454545454545454,0.8571428571428571
