Risk Category,Optimal Threshold,Baseline F1,Optimized F1,F1 Improvement,Baseline Precision,Optimized Precision,Baseline Recall,Optimized Recall
Limitation of liability,0.7,0.6976744186046512,0.725,0.027325581395348797,0.625,0.6904761904761905,0.7894736842105263,0.7631578947368421
Unilateral termination,0.65,0.7126436781609196,0.7209302325581395,0.008286554397219925,0.6326530612244898,0.6458333333333334,0.8157894736842105,0.8157894736842105
Unilateral change,0.7,0.6585365853658537,0.7105263157894737,0.051989730423619984,0.6136363636363636,0.7105263157894737,0.7105263157894737,0.7105263157894737
Content removal,0.7,0.5238095238095238,0.6666666666666666,0.1428571428571428,0.3793103448275862,0.55,0.8461538461538461,0.8461538461538461
Contract by using,0.65,0.8444444444444444,0.8636363636363636,0.019191919191919204,0.8636363636363636,0.9047619047619048,0.8260869565217391,0.8260869565217391
Choice of law,0.65,0.6666666666666666,0.9230769230769231,0.2564102564102565,0.5217391304347826,0.9230769230769231,0.9230769230769231,0.9230769230769231
Jurisdiction,0.7,0.8823529411764706,0.9375,0.05514705882352944,0.8333333333333334,0.9375,0.9375,0.9375
Arbitration,0.7,0.5,0.5454545454545454,0.045454545454545414,0.35294117647058826,0.4,0.8571428571428571,0.8571428571428571
