Risk Category,F1,Precision,Recall
Jurisdiction,0.8823529411764706,0.8333333333333334,0.9375
Contract by using,0.8444444444444444,0.8636363636363636,0.8260869565217391
Unilateral termination,0.7126436781609196,0.6326530612244898,0.8157894736842105
Limitation of liability,0.6976744186046512,0.625,0.7894736842105263
Choice of law,0.6666666666666666,0.5217391304347826,0.9230769230769231
Unilateral change,0.6585365853658537,0.6136363636363636,0.7105263157894737
Content removal,0.5238095238095238,0.3793103448275862,0.8461538461538461
Arbitration,0.5,0.35294117647058826,0.8571428571428571
