Metric,Baseline (0.5),Optimized,Improvement,Improvement %
Macro F1,0.6857660322785663,0.7615988808977641,0.07583284861919781,11.05812260301537
Macro Precision,0.6027812216954385,0.7202718334297282,0.11749061173428976,19.491418694800206
Macro Recall,0.838218757072447,0.8349292833882365,-0.003289473684210509,-0.3924361816597001
Micro F1,0.6926605504587156,0.7518796992481203,0.05921914878940471,8.549519494099487
