Risk Category,F1,Precision,Recall
Jurisdiction,0.8648648648648649,0.7619047619047619,1.0
Contract by using,0.7659574468085106,0.75,0.782608695652174
Choice of law,0.75,0.631578947368421,0.9230769230769231
Unilateral termination,0.7311827956989247,0.6181818181818182,0.8947368421052632
Limitation of liability,0.6818181818181818,0.6,0.7894736842105263
Content removal,0.631578947368421,0.48,0.9230769230769231
Unilateral change,0.6153846153846154,0.5283018867924528,0.7368421052631579
Arbitration,0.6,0.46153846153846156,0.8571428571428571
